player,birthplace
Mickaël Piétrus,"Les Abymes, Guadeloupe, France"
Nick Collison,"Orange City, Iowa"
Marcus Banks,"Las Vegas, Nevada"
Luke Ridnour,"Coeur d'Alene, Idaho"
Reece Gaines,"Madison, Wisconsin"
Troy Bell,"Minneapolis, Minnesota"
Žarko Čabarkapa,"Zrenjanin, SR Serbia, SFR Yugoslavia"
David West,"Teaneck, New Jersey"
Aleksandar Pavlović,"Bar, SR Montenegro, SFR Yugoslavia"
Dahntay Jones,"Trenton, New Jersey"
Boris Diaw,"Cormeilles-en-Parisis, Val-d'Oise, France"
Zoran Planinić,"Mostar, SR Bosnia and Herzegovina, SFR Yugoslavia"
Travis Outlaw,"Starkville, Mississippi"
Brian Cook,"Lincoln, Illinois"
Carlos Delfino,"Santa Fe, Argentina"
Ndudi Ebi,"London, England"
Kendrick Perkins,"Nederland, Texas"
Leandro Barbosa,"São Paulo, Brazil"
Josh Howard,"Winston-Salem, North Carolina"
Maciej Lampe,"Łódź, Poland"
Jason Kapono,"Long Beach, California"
Luke Walton,"San Diego, California"
Jerome Beasley,"Compton, California"
Sofoklis Schortsanitis,"Tiko, Cameroon"
Szymon Szewczyk,"Szczecin, Poland"
Mario Austin,"Livingston, Alabama"
Travis Hansen,"Provo, Utah"
Steve Blake,"Hollywood, Florida"
Slavko Vraneš,"Pljevlja, SR Montenegro, SFR Yugoslavia"
Derrick Zimmerman,"Monroe, Louisiana"
Willie Green,"Detroit, Michigan"
Zaza Pachulia,"Tbilisi, Georgian SSR, Soviet Union"
Keith Bogans,"Washington, D.C."
Malick Badiane,"Dakar, Senegal"
Matt Bonner,"Concord, New Hampshire"
Sani Bečirovič,"Maribor, SR Slovenia, SFR Yugoslavia"
Mo Williams,"Jackson, Mississippi"
James Lang,"Mobile, Alabama"
James Jones,"Miami, Florida"
Paccelis Morlende,"Creil, France"
Kyle Korver,"Paramount, California"
Remon van de Hare,"Amsterdam, Netherlands"
Tommy Smith,"Phoenix, Arizona"
Nedžad Sinanović,"Zavidovići, SR Bosnia and Herzegovina, SFR Yugoslavia"
Rick Rickert,"Duluth, Minnesota"
Brandon Hunter,"Cincinnati, Ohio"
Xue Yuyang,"Henan, China"
Andreas Glyniadakis,"Chania, Greece"
Earl Barron,"Clarksdale, Mississippi"
José Calderón,"Villanueva de la Serena, Spain"
Dwight Howard,"Atlanta, Georgia"
Emeka Okafor,"Houston, Texas"
Ben Gordon,"London, England"
Shaun Livingston,"Peoria, Illinois"
Devin Harris,"Milwaukee, Wisconsin"
Josh Childress,"Harbor City, California"
Luol Deng,"Wau, Sudan (now South Sudan)"
Rafael Araújo,"Curitiba, Brazil"
Andre Iguodala,"Springfield, Illinois"
Luke Jackson,"Eugene, Oregon"
Andris Biedriņš,"Riga, Latvia"
Robert Swift,"Bakersfield, California"
Sebastian Telfair,"Brooklyn, New York"
Kris Humphries,"Minneapolis, Minnesota"
Al Jefferson,"Monticello, Mississippi"
Kirk Snyder,"Los Angeles, California"
Josh Smith,"College Park, Georgia"
J. R. Smith,"Freehold Borough, New Jersey"
Dorell Wright,"Los Angeles, California"
Jameer Nelson,"Chester, Pennsylvania"
Pavel Podkolzin,"Novosibirsk, Russian SFSR, Soviet Union"
Viktor Khryapa,"Kiev, Ukrainian SSR, Soviet Union"
Sergei Monia,"Saratov, Russian SFSR, Soviet Union"
Delonte West,"Washington, D.C."
Tony Allen,"Chicago, Illinois"
Kevin Martin,"Zanesville, Ohio"
Sasha Vujačić,"Maribor, SR Slovenia, SFR Yugoslavia"
Beno Udrih,"Celje, SR Slovenia, SFR Yugoslavia"
David Harrison,"Nashville, Tennessee"
Anderson Varejão,"Colatina, Brazil"
Jackson Vroman,"Laguna, California"
Peter John Ramos,"Fajardo, Puerto Rico"
Lionel Chalmers,"Albany, New York"
Donta Smith,"Louisville, Kentucky"
Andre Emmett,"Dallas, Texas"
Antonio Burks,"Memphis, Tennessee"
Royal Ivey,"Harlem, New York"
Chris Duhon,"Mamou, Louisiana"
Albert Miralles,"Badalona, Spain"
Justin Reed,"Jackson, Mississippi"
David Young,"New Castle, Pennsylvania"
Viktor Sanikidze,"Tbilisi, Georgian SSR, USSR"
Trevor Ariza,"Miami, Florida"
Tim Pickett,"Daytona Beach, Florida"
Bernard Robinson,"Washington, D.C."
Ha Seung-Jin,"Seoul, South Korea"
Pape Sow,"Dakar, Senegal"
Ricky Minard,"Mansfield, Ohio"
Sergei Lishouk,"Rivne, Ukrainian SSR"
Vassilis Spanoulis,"Larissa, Greece"
Christian Drejer,"Copenhagen, Denmark"
Romain Sato,"Bimbo, Central African Republic"
Matt Freije,"Bismarck, North Dakota"
Rickey Paulding,"Detroit, Michigan"
Luis Flores,"San Pedro de Macoris, Dominican Republic"
Marcus Douthit,"Syracuse, New York"
Sergei Karaulov,"Guliston, Uzbek Soviet Socialist Republic, Soviet Union"
Blake Stepp,"Eugene, Oregon"
Rashad Wright,"Statesboro, Georgia"
Andrew Bogut,"Melbourne, Victoria"
Marvin Williams,"Bremerton, Washington"
Deron Williams,"Parkersburg, West Virginia"
Chris Paul,"Winston-Salem, North Carolina"
Raymond Felton,"Latta, South Carolina"
Martell Webster,"Edmonds, Washington"
Charlie Villanueva,"Queens, New York"
Channing Frye,"White Plains, New York"
Ike Diogu,"Buffalo, New York"
Andrew Bynum,"Plainsboro Township, New Jersey"
Fran Vázquez,"Chantada, Galicia"
Yaroslav Korolev,"Moscow, Russian SFSR, Soviet Union"
Sean May,"Chicago, Illinois"
Rashad McCants,"Asheville, North Carolina"
Antoine Wright,"West Covina, California"
Joey Graham,"Wilmington, Delaware"
Danny Granger,"New Orleans, Louisiana"
Gerald Green,"Houston, Texas"
Hakim Warrick,"Philadelphia, Pennsylvania"
Julius Hodge,"Harlem, New York"
Nate Robinson,"Seattle, Washington"
Jarrett Jack,"Fort Washington, Maryland"
Francisco García,"San Francisco de Macoris, Dominican Republic"
Luther Head,"Chicago, Illinois"
Johan Petro,"Paris, France"
Jason Maxiell,"Chicago, Illinois"
Linas Kleiza,"Kaunas, Lithuanian SSR, Soviet Union"
Ian Mahinmi,"Rouen, France"
Wayne Simien,"Leavenworth, Kansas"
David Lee,"St. Louis, Missouri"
Salim Stoudamire,"Portland, Oregon"
Daniel Ewing,"Milton, Florida"
Brandon Bass,"Baton Rouge, Louisiana"
C. J. Miles,"Dallas, Texas"
Ricky Sánchez,"Guayama, Puerto Rico"
Ersan İlyasova,"Eskişehir, Turkey"
Ronny Turiaf,"Fort-de-France, Martinique"
Travis Diener,"Fond du Lac, Wisconsin"
Von Wafer,"Homer, Louisiana"
Monta Ellis,"Jackson, Mississippi"
Roko Ukić,"Split, SR Croatia"
Chris Taft,"Brooklyn, New York"
Mile Ilić,"Tuzla, SR Bosnia and Herzegovina
SFR Yugoslavia"
Martynas Andriuškevičius,"Kaunas, Lithuanian SSR, Soviet Union"
Louis Williams,"Memphis, Tennessee"
Erazem Lorbek,"Ljubljana, SR Slovenia, SFR Yugoslavia"
Bracey Wright,"The Colony, Texas"
Mickaël Gelabale,"Pointe-Noire, Guadeloupe"
Andray Blatche,"Syracuse, New York"
Ryan Gomes,"Waterbury, Connecticut"
Robert Whaley,"Benton Harbor, Michigan"
Axel Hervelle,"Liège, Belgium"
Orien Greene,"Gainesville, Florida"
Dijon Thompson,"Los Angeles, California"
Lawrence Roberts,"Houston, Texas"
Amir Johnson,"Los Angeles, California"
Marcin Gortat,"Łódź, Poland"
Uroš Slokar,"Ljubljana, SR Slovenia, SFR Yugoslavia"
Cenk Akyol,"Kadıköy, Turkey"
Alex Acker,"Compton, California"
Andrea Bargnani,"Rome, Italy"
LaMarcus Aldridge,"Dallas, Texas"
Adam Morrison,"Glendive, Montana"
Tyrus Thomas,"Baton Rouge, Louisiana"
Shelden Williams,"Oklahoma City, Oklahoma"
Brandon Roy,"Seattle, Washington"
Randy Foye,"Newark, New Jersey"
Rudy Gay,"Brooklyn, New York"
Patrick O'Bryant,"Oskaloosa, Iowa"
Mouhamed Sene,"Thiès, Senegal"
J. J. Redick,"Cookeville, Tennessee"
Hilton Armstrong,"Peekskill, New York"
Thabo Sefolosha,"Vevey, Switzerland"
Ronnie Brewer,"Portland, Oregon"
Cedric Simmons,"Shallotte, North Carolina"
Rodney Carney,"Memphis, Tennessee"
Shawne Williams,"Memphis, Tennessee"
Oleksiy Pecherov,"Donetsk, Ukrainian SSR, Soviet Union"
Quincy Douby,"Brooklyn, New York"
Renaldo Balkman,"Staten Island, New York"
Rajon Rondo,"Louisville, Kentucky"
Marcus Williams,"Los Angeles, California"
Josh Boone,"Mount Airy, Maryland"
Kyle Lowry,"Philadelphia, Pennsylvania"
Shannon Brown,"Maywood, Illinois"
Jordan Farmar,"Los Angeles, California"
Sergio Rodríguez,"San Cristóbal de La Laguna,
Canary Islands, Spain"
